cat,paper,year,id,memory_object,substrate,tf,priority,role,url,status,reading_status,note_path
S5 Identity / entity / narrative memory,SlotMemory: Object-Centric KV Memory for Streaming Long-Video Generation,2026,arXiv:2605.31033,object/entity persistence,object-centric KV semantic slots,Likely yes/system,Must-read,从 temporal-centric memory 转向 object-centric memory 的核心代表。,https://arxiv.org/abs/2605.31033,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s5_2605_31033_slotmemory_object_centric_kv_memory_for_streaming_long_video_generatio.md
S5 Identity / entity / narrative memory,StoryDiffusion: Consistent Self-Attention for Long-Range Image and Video Generation,2024,arXiv:2405.01434,story character identity,consistent self-attention + semantic motion predictor,Mostly training-free / system,High,早期 consistent attention / character consistency 代表。,https://arxiv.org/abs/2405.01434,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s5_2405_01434_storydiffusion_consistent_self_attention_for_long_range_image_and_vide.md
S5 Identity / entity / narrative memory,StoryMem: Long Story Video Generation with Compact Memory Bank,2025,arXiv:2512.19539,characters / scenes / style,compact memory bank + shot-by-shot generation,Trained/system,High,故事视频中的 compact memory bank。,https://arxiv.org/html/2512.19539v1,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s5_2512_19539_storymem_long_story_video_generation_with_compact_memory_bank.md
S5 Identity / entity / narrative memory,"TPIGE: Identity-Preserving Text-to-Video Generation via Training-Free Prompt, Image, and Guidance Enhancement",2025,arXiv:2509.01362,reference subject identity,prompt/image/guidance enhancement,Yes,High,输入侧 training-free ID memory 的代表。,https://arxiv.org/abs/2509.01362,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s5_2509_01362_tpige_identity_preserving_text_to_video_generation_via_training_free_p.md
S5 Identity / entity / narrative memory,Video Storyboarding: Multi-Shot Character Consistency for Text-to-Video Generation,2024,arXiv:2412.07750,multi-shot character identity,query injection / attention feature control,Yes,Must-read,identity-motion trade-off 的关键论文。,https://arxiv.org/abs/2412.07750,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s5_2412_07750_video_storyboarding_multi_shot_character_consistency_for_text_to_video.md
S5 Identity / entity / narrative memory,VideoMemory: Toward Consistent Video Generation via Memory Integration,2026,arXiv:2601.03655,character / prop / background consistency,dynamic memory bank,Trained/system,Must-read,显式 memory integration 论文，适合 narrative memory 章节。,https://arxiv.org/abs/2601.03655,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s5_2601_03655_videomemory_toward_consistent_video_generation_via_memory_integration.md
S6 Retrieval / external memory,Context as Memory: Scene-Consistent Interactive Long Video Generation with Memory Retrieval,2025,arXiv:2506.03141,scene revisit / context visibility,historical context frames as memory,System / likely training-light,High,历史帧检索作为 memory 的核心代表。,https://arxiv.org/abs/2506.03141,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s6_2506_03141_context_as_memory_scene_consistent_interactive_long_video_generation_w.md
S6 Retrieval / external memory,LongLive-RAG,2026,arXiv:2606.02553,long-range context retrieval,retrieval-augmented historical frames/tokens,System,High,RAG for long video generation。,https://arxiv.org/abs/2606.02553,Verified by web,web-read,notes/paper_notes/web_read_all_v0.4/s6_2606_02553_longlive_rag.md
S6 Retrieval / external memory,MAG,2025,arXiv:2512.18741,historical scene consistency,decoupled memory compression and generation,Trained/system,High,memory compression/retrieval 章节。,https://arxiv.org/html/2512.18741v1,Verified by web,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s6_2512_18741_mag.md
S6 Retrieval / external memory,MALT Diffusion,2025/2026,OpenReview,long video latent memory,memory-augmented latent transformer,Trained,Related,latent transformer memory 背景。,https://openreview.net/forum?id=YuUwwVoWES,From prior docs / To verify,metadata-web-ready,notes/paper_notes/web_read_all_v0.4/s6_noid_malt_diffusion.md
